Date,Open,High,Low,Close
7/14/2023,31355.00,31552.00,30047.00,30213.00
7/13/2023,30342.00,31638.00,30279.00,31377.00
7/12/2023,30577.00,30833.00,30267.00,30342.00
7/11/2023,30793.00,30793.00,30261.00,30586.00
7/10/2023,30203.00,30979.00,30001.00,30793.00
7/9/2023,30161.00,30417.00,30155.00,30203.00
7/8/2023,30245.00,30378.00,30106.00,30161.00
7/7/2023,30301.00,30431.00,29776.00,30245.00
7/6/2023,30466.00,31431.00,29957.00,30301.00
7/5/2023,30798.00,30870.00,30216.00,30466.00
7/4/2023,31117.00,31311.00,30656.00,30793.00
7/3/2023,30586.00,31345.00,30530.00,31117.00
7/2/2023,30575.00,30646.00,30266.00,30586.00
7/1/2023,30379.00,30643.00,30319.00,30575.00
6/30/2023,30408.00,31234.00,29637.00,30379.00
6/29/2023,30104.00,30880.00,30043.00,30408.00
6/28/2023,30656.00,30735.00,29922.00,30104.00
6/27/2023,30170.00,30990.00,30102.00,30656.00
6/26/2023,30377.00,30622.00,29944.00,30170.00
6/25/2023,30510.00,31041.00,30319.00,30377.00
6/24/2023,30937.00,30937.00,30295.00,30510.00
6/23/2023,30144.00,31383.00,29845.00,30937.00
6/22/2023,29936.00,30449.00,29665.00,30144.00
6/21/2023,28158.00,30688.00,28091.00,29936.00
6/20/2023,26701.00,28203.00,26646.00,28158.00
6/19/2023,26463.00,26982.00,26308.00,26711.00
6/18/2023,26532.00,26675.00,26380.00,26463.00
6/17/2023,26382.00,26751.00,26185.00,26531.00
6/16/2023,25534.00,26446.00,25222.00,26382.00
6/15/2023,24941.00,25471.00,24801.00,25439.00
6/14/2023,25860.00,26044.00,24900.00,24941.00
6/13/2023,25886.00,26343.00,25742.00,25860.00
6/12/2023,26135.00,26151.00,25677.00,25886.00
6/11/2023,25792.00,26190.00,25671.00,26136.00
6/10/2023,26443.00,26521.00,25460.00,25792.00
6/9/2023,26637.00,26757.00,26325.00,26446.00
6/8/2023,26354.00,26764.00,26153.00,26637.00
6/7/2023,26955.00,27294.00,26258.00,26355.00
6/6/2023,25641.00,27176.00,25407.00,26955.00
6/5/2023,27254.00,27418.00,25438.00,25636.00
6/4/2023,27082.00,27294.00,26967.00,27254.00
6/3/2023,27200.00,27322.00,27080.00,27082.00
6/2/2023,26866.00,27284.00,26590.00,27200.00
6/1/2023,27120.00,27334.00,26662.00,26866.00
5/31/2023,27777.00,27837.00,26884.00,27120.00
5/30/2023,27680.00,28019.00,27573.00,27777.00
5/29/2023,27552.00,28419.00,27537.00,27680.00
5/28/2023,26759.00,27661.00,26747.00,27552.00
5/27/2023,26752.00,26832.00,26629.00,26759.00
5/26/2023,26481.00,26913.00,26338.00,26752.00
5/25/2023,26443.00,26614.00,25924.00,26481.00
5/24/2023,27216.00,27241.00,26111.00,26443.00
5/23/2023,26895.00,27429.00,26802.00,27216.00
5/22/2023,26855.00,27048.00,26555.00,26895.00
5/21/2023,27027.00,27255.00,26819.00,26855.00
5/20/2023,26836.00,27159.00,26836.00,27027.00
5/19/2023,26741.00,27139.00,26642.00,26836.00
5/18/2023,27339.00,27465.00,26397.00,26741.00
5/17/2023,26959.00,27449.00,26587.00,27339.00
5/16/2023,27355.00,27388.00,26890.00,26959.00
5/15/2023,26949.00,27652.00,26761.00,27355.00
5/14/2023,26997.00,27227.00,26715.00,26949.00
5/13/2023,26451.00,27082.00,26451.00,26998.00
5/12/2023,27027.00,27085.00,25883.00,26456.00
5/11/2023,27884.00,27887.00,26767.00,27027.00
5/10/2023,27670.00,28297.00,26967.00,27896.00
5/9/2023,27565.00,27837.00,27403.00,27670.00
5/8/2023,28926.00,28995.00,27297.00,27565.00
5/7/2023,28961.00,29261.00,28834.00,28926.00
5/6/2023,29531.00,29983.00,28567.00,28961.00
5/5/2023,28891.00,29677.00,28776.00,29531.00
5/4/2023,28512.00,29369.00,28512.00,28891.00
5/3/2023,28705.00,28794.00,28173.00,28512.00
5/2/2023,27705.00,28876.00,27700.00,28705.00
