Entity,Code,Year,CO2
Mexico,MEX,1891,520288
Mexico,MEX,1892,578912
Mexico,MEX,1893,531280
Mexico,MEX,1894,538608
Mexico,MEX,1895,494640
Mexico,MEX,1896,578912
Mexico,MEX,1897,688832
Mexico,MEX,1898,736464
Mexico,MEX,1899,754784
Mexico,MEX,1900,1000272.06
Mexico,MEX,1901,1311712
Mexico,MEX,1902,1425296
Mexico,MEX,1903,1557200
Mexico,MEX,1904,1718416
Mexico,MEX,1905,1707424
Mexico,MEX,1906,1919936
Mexico,MEX,1907,2264352
Mexico,MEX,1908,3770256
Mexico,MEX,1909,3693312
Mexico,MEX,1910,4154976
Mexico,MEX,1911,8401552
Mexico,MEX,1912,8632384
Mexico,MEX,1913,11743120
Mexico,MEX,1914,10141952
Mexico,MEX,1915,14315248
Mexico,MEX,1916,17184160
Mexico,MEX,1917,26131648
Mexico,MEX,1918,30642032
Mexico,MEX,1919,41084430
Mexico,MEX,1920,76236850
Mexico,MEX,1921,90288290
Mexico,MEX,1922,85550740
Mexico,MEX,1923,72037900
Mexico,MEX,1924,67871940
Mexico,MEX,1925,57085120
Mexico,MEX,1926,44686144
Mexico,MEX,1927,31796192
Mexico,MEX,1928,24082610
Mexico,MEX,1929,22147958
Mexico,MEX,1930,20379168
Mexico,MEX,1931,16751808
Mexico,MEX,1932,16194880
Mexico,MEX,1933,16740816
Mexico,MEX,1934,18891584
Mexico,MEX,1935,21426062
Mexico,MEX,1936,21960858
Mexico,MEX,1937,24902812
Mexico,MEX,1938,24265156
Mexico,MEX,1939,22663840
Mexico,MEX,1940,23209478
Mexico,MEX,1941,22546088
Mexico,MEX,1942,18977142
Mexico,MEX,1943,19057782
Mexico,MEX,1944,20123886
Mexico,MEX,1945,22614870
Mexico,MEX,1946,25623044
Mexico,MEX,1947,29351926
Mexico,MEX,1948,30509422
Mexico,MEX,1949,28958958
Mexico,MEX,1950,30507610
Mexico,MEX,1951,34889400
Mexico,MEX,1952,37212196
Mexico,MEX,1953,36706536
Mexico,MEX,1954,36270190
Mexico,MEX,1955,39661988
Mexico,MEX,1956,42134116
Mexico,MEX,1957,49277788
Mexico,MEX,1958,54008100
Mexico,MEX,1959,58286970
Mexico,MEX,1960,63052290
Mexico,MEX,1961,65239908
Mexico,MEX,1962,63743710
Mexico,MEX,1963,66292190
Mexico,MEX,1964,74200130
Mexico,MEX,1965,75167900
Mexico,MEX,1966,80844570
Mexico,MEX,1967,90005530
Mexico,MEX,1968,93887230
Mexico,MEX,1969,102176184
Mexico,MEX,1970,113950680
Mexico,MEX,1971,126186810
Mexico,MEX,1972,132271256
Mexico,MEX,1973,144058430
Mexico,MEX,1974,154727330
Mexico,MEX,1975,164139040
Mexico,MEX,1976,183739580
Mexico,MEX,1977,192394240
Mexico,MEX,1978,222116240
Mexico,MEX,1979,240258750
Mexico,MEX,1980,267743840
Mexico,MEX,1981,283707420
Mexico,MEX,1982,303905060
Mexico,MEX,1983,277565860
Mexico,MEX,1984,276648580
Mexico,MEX,1985,287370530
Mexico,MEX,1986,293412200
Mexico,MEX,1987,306022080
Mexico,MEX,1988,305665570
Mexico,MEX,1989,323480320
Mexico,MEX,1990,317042370
Mexico,MEX,1991,330133150
Mexico,MEX,1992,332780160
Mexico,MEX,1993,338067200
Mexico,MEX,1994,351528160
Mexico,MEX,1995,331596600
Mexico,MEX,1996,345766100
Mexico,MEX,1997,368644800
Mexico,MEX,1998,388356900
Mexico,MEX,1999,390516450
Mexico,MEX,2000,396066370
Mexico,MEX,2001,410697950
Mexico,MEX,2002,411967680
Mexico,MEX,2003,437757540
Mexico,MEX,2004,438856700
Mexico,MEX,2005,463993180
Mexico,MEX,2006,476565220
Mexico,MEX,2007,479786800
Mexico,MEX,2008,492979680
Mexico,MEX,2009,475903040
Mexico,MEX,2010,463782500
Mexico,MEX,2011,484164860
Mexico,MEX,2012,501568830
Mexico,MEX,2013,495485200
Mexico,MEX,2014,484113700
Mexico,MEX,2015,479519780
Mexico,MEX,2016,479789760
Mexico,MEX,2017,465620930
Mexico,MEX,2018,475268930
Mexico,MEX,2019,472191500
Mexico,MEX,2020,391706200
Mexico,MEX,2021,407205060
